[2026-04-03T00:58:53.610+0600][0.005s][info][gc,init] CardTable entry size: 512
[2026-04-03T00:58:56.081+0600][2.477s][info][gc,metaspace] GC(4) Metaspace: 8788K(9024K)->8788K(9024K) NonClass: 7945K(8064K)->7945K(8064K) Class: 843K(960K)->843K(960K)
[2026-04-03T00:58:56.081+0600][2.477s][info][gc          ] GC(4) Pause Young (Normal) (G1 Evacuation Pause) 164M->38M(248M) 17.800ms
[2026-04-03T00:58:56.081+0600][2.477s][info][gc,cpu      ] GC(4) User=0.09s Sys=0.01s Real=0.02s
[2026-04-03T00:58:56.254+0600][2.650s][info][gc,start    ] GC(5) Pause Young (Normal) (G1 Evacuation Pause)
[2026-04-03T00:58:56.254+0600][2.650s][info][gc,task     ] GC(5) Using 5 workers of 10 for evacuation
[2026-04-03T00:58:56.282+0600][2.677s][info][gc,phases   ] GC(5)   Pre Evacuate Collection Set: 0.43ms
[2026-04-03T00:58:56.282+0600][2.677s][info][gc,phases   ] GC(5)   Merge Heap Roots: 0.31ms
[2026-04-03T00:58:56.282+0600][2.677s][info][gc,phases   ] GC(5)   Evacuate Collection Set: 24.36ms
[2026-04-03T00:58:56.282+0600][2.677s][info][gc,phases   ] GC(5)   Post Evacuate Collection Set: 2.11ms
[2026-04-03T00:58:56.282+0600][2.677s][info][gc,phases   ] GC(5)   Other: 0.14ms
[2026-04-03T00:58:56.282+0600][2.677s][info][gc,heap     ] GC(5) Eden regions: 63->0(105)
[2026-04-03T00:58:56.282+0600][2.677s][info][gc,heap     ] GC(5) Survivor regions: 10->10(10)
[2026-04-03T00:58:56.282+0600][2.678s][info][gc,heap     ] GC(5) Old regions: 10->15
[2026-04-03T00:58:56.282+0600][2.678s][info][gc,heap     ] GC(5) Humongous regions: 0->0
[2026-04-03T00:58:56.282+0600][2.678s][info][gc,metaspace] GC(5) Metaspace: 8790K(9024K)->8790K(9024K) NonClass: 7946K(8064K)->7946K(8064K) Class: 843K(960K)->843K(960K)
[2026-04-03T00:58:56.282+0600][2.678s][info][gc          ] GC(5) Pause Young (Normal) (G1 Evacuation Pause) 164M->48M(384M) 27.754ms
[2026-04-03T00:58:56.282+0600][2.678s][info][gc,cpu      ] GC(5) User=0.14s Sys=0.01s Real=0.03s
[2026-04-03T00:58:56.716+0600][3.112s][info][gc,start    ] GC(6) Pause Young (Normal) (G1 Evacuation Pause)
[2026-04-03T00:58:56.717+0600][3.113s][info][gc,task     ] GC(6) Using 9 workers of 10 for evacuation
[2026-04-03T00:58:56.734+0600][3.130s][info][gc,phases   ] GC(6)   Pre Evacuate Collection Set: 0.30ms
[2026-04-03T00:58:56.734+0600][3.130s][info][gc,phases   ] GC(6)   Merge Heap Roots: 0.08ms
[2026-04-03T00:58:56.734+0600][3.130s][info][gc,phases   ] GC(6)   Evacuate Collection Set: 15.85ms
[2026-04-03T00:58:56.734+0600][3.130s][info][gc,phases   ] GC(6)   Post Evacuate Collection Set: 0.68ms
[2026-04-03T00:58:56.734+0600][3.130s][info][gc,phases   ] GC(6)   Other: 1.05ms
[2026-04-03T00:58:56.734+0600][3.130s][info][gc,heap     ] GC(6) Eden regions: 105->0(102)
[2026-04-03T00:58:56.734+0600][3.130s][info][gc,heap     ] GC(6) Survivor regions: 10->13(15)
[2026-04-03T00:58:56.734+0600][3.130s][info][gc,heap     ] GC(6) Old regions: 15->20
[2026-04-03T00:58:56.734+0600][3.130s][info][gc,heap     ] GC(6) Humongous regions: 0->0
[2026-04-03T00:58:56.734+0600][3.130s][info][gc,metaspace] GC(6) Metaspace: 8794K(9024K)->8794K(9024K) NonClass: 7950K(8064K)->7950K(8064K) Class: 843K(960K)->843K(960K)
[2026-04-03T00:58:56.734+0600][3.130s][info][gc          ] GC(6) Pause Young (Normal) (G1 Evacuation Pause) 258M->64M(384M) 18.287ms
[2026-04-03T00:58:56.734+0600][3.130s][info][gc,cpu      ] GC(6) User=0.13s Sys=0.01s Real=0.02s
[2026-04-03T00:58:57.029+0600][3.424s][info][gc,start    ] GC(7) Pause Young (Normal) (G1 Evacuation Pause)
[2026-04-03T00:58:57.029+0600][3.424s][info][gc,task     ] GC(7) Using 9 workers of 10 for evacuation
[2026-04-03T00:58:57.053+0600][3.449s][info][gc,phases   ] GC(7)   Pre Evacuate Collection Set: 0.37ms
[2026-04-03T00:58:57.053+0600][3.449s][info][gc,phases   ] GC(7)   Merge Heap Roots: 0.19ms
[2026-04-03T00:58:57.053+0600][3.449s][info][gc,phases   ] GC(7)   Evacuate Collection Set: 22.73ms
[2026-04-03T00:58:57.053+0600][3.449s][info][gc,phases   ] GC(7)   Post Evacuate Collection Set: 0.72ms
[2026-04-03T00:58:57.053+0600][3.449s][info][gc,phases   ] GC(7)   Other: 0.14ms
[2026-04-03T00:58:57.053+0600][3.449s][info][gc,heap     ] GC(7) Eden regions: 102->0(100)
[2026-04-03T00:58:57.053+0600][3.449s][info][gc,heap     ] GC(7) Survivor regions: 13->15(15)
[2026-04-03T00:58:57.053+0600][3.449s][info][gc,heap     ] GC(7) Old regions: 20->26
[2026-04-03T00:58:57.053+0600][3.449s][info][gc,heap     ] GC(7) Humongous regions: 0->0
[2026-04-03T00:58:57.053+0600][3.449s][info][gc,metaspace] GC(7) Metaspace: 8795K(9024K)->8795K(9024K) NonClass: 7951K(8064K)->7951K(8064K) Class: 843K(960K)->843K(960K)
[2026-04-03T00:58:57.053+0600][3.449s][info][gc          ] GC(7) Pause Young (Normal) (G1 Evacuation Pause) 268M->79M(384M) 24.523ms
[2026-04-03T00:58:57.053+0600][3.449s][info][gc,cpu      ] GC(7) User=0.22s Sys=0.01s Real=0.03s
[2026-04-03T00:58:57.338+0600][3.734s][info][gc,start    ] GC(8) Pause Young (Normal) (G1 Evacuation Pause)
[2026-04-03T00:58:57.338+0600][3.734s][info][gc,task     ] GC(8) Using 9 workers of 10 for evacuation
[2026-04-03T00:58:57.360+0600][3.756s][info][gc,phases   ] GC(8)   Pre Evacuate Collection Set: 0.13ms
[2026-04-03T00:58:57.360+0600][3.756s][info][gc,phases   ] GC(8)   Merge Heap Roots: 0.24ms
[2026-04-03T00:58:57.360+0600][3.756s][info][gc,phases   ] GC(8)   Evacuate Collection Set: 20.29ms
[2026-04-03T00:58:57.360+0600][3.756s][info][gc,phases   ] GC(8)   Post Evacuate Collection Set: 0.75ms
[2026-04-03T00:58:57.360+0600][3.756s][info][gc,phases   ] GC(8)   Other: 0.15ms
[2026-04-03T00:58:57.360+0600][3.756s][info][gc,heap     ] GC(8) Eden regions: 100->0(100)
[2026-04-03T00:58:57.360+0600][3.756s][info][gc,heap     ] GC(8) Survivor regions: 15->15(15)
[2026-04-03T00:58:57.360+0600][3.756s][info][gc,heap     ] GC(8) Old regions: 26->33
[2026-04-03T00:58:57.360+0600][3.756s][info][gc,heap     ] GC(8) Humongous regions: 0->0
[2026-04-03T00:58:57.360+0600][3.756s][info][gc,metaspace] GC(8) Metaspace: 8819K(9024K)->8819K(9024K) NonClass: 7976K(8064K)->7976K(8064K) Class: 843K(960K)->843K(960K)
[2026-04-03T00:58:57.360+0600][3.756s][info][gc          ] GC(8) Pause Young (Normal) (G1 Evacuation Pause) 279M->95M(384M) 21.816ms
[2026-04-03T00:58:57.360+0600][3.756s][info][gc,cpu      ] GC(8) User=0.18s Sys=0.01s Real=0.03s
[2026-04-03T00:58:57.627+0600][4.023s][info][gc,start    ] GC(9) Pause Young (Normal) (G1 Evacuation Pause)
[2026-04-03T00:58:57.627+0600][4.023s][info][gc,task     ] GC(9) Using 9 workers of 10 for evacuation
[2026-04-03T00:58:57.650+0600][4.046s][info][gc,phases   ] GC(9)   Pre Evacuate Collection Set: 0.23ms
[2026-04-03T00:58:57.650+0600][4.046s][info][gc,phases   ] GC(9)   Merge Heap Roots: 0.09ms
[2026-04-03T00:58:57.650+0600][4.046s][info][gc,phases   ] GC(9)   Evacuate Collection Set: 20.08ms
[2026-04-03T00:58:57.650+0600][4.046s][info][gc,phases   ] GC(9)   Post Evacuate Collection Set: 2.29ms
[2026-04-03T00:58:57.650+0600][4.046s][info][gc,phases   ] GC(9)   Other: 0.09ms
[2026-04-03T00:58:57.650+0600][4.046s][info][gc,heap     ] GC(9) Eden regions: 100->0(197)
[2026-04-03T00:58:57.650+0600][4.046s][info][gc,heap     ] GC(9) Survivor regions: 15->15(15)
[2026-04-03T00:58:57.650+0600][4.046s][info][gc,heap     ] GC(9) Old regions: 33->41
[2026-04-03T00:58:57.650+0600][4.046s][info][gc,heap     ] GC(9) Humongous regions: 0->0
[2026-04-03T00:58:57.650+0600][4.046s][info][gc,metaspace] GC(9) Metaspace: 8837K(9024K)->8837K(9024K) NonClass: 7993K(8064K)->7993K(8064K) Class: 843K(960K)->843K(960K)
[2026-04-03T00:58:57.650+0600][4.046s][info][gc          ] GC(9) Pause Young (Normal) (G1 Evacuation Pause) 295M->110M(708M) 23.024ms
[2026-04-03T00:58:57.650+0600][4.046s][info][gc,cpu      ] GC(9) User=0.16s Sys=0.03s Real=0.03s
[2026-04-03T00:58:58.345+0600][4.740s][info][gc,start    ] GC(10) Pause Young (Normal) (G1 Evacuation Pause)
[2026-04-03T00:58:58.345+0600][4.741s][info][gc,task     ] GC(10) Using 10 workers of 10 for evacuation
[2026-04-03T00:58:58.382+0600][4.778s][info][gc,phases   ] GC(10)   Pre Evacuate Collection Set: 0.45ms
[2026-04-03T00:58:58.382+0600][4.778s][info][gc,phases   ] GC(10)   Merge Heap Roots: 0.26ms
[2026-04-03T00:58:58.382+0600][4.778s][info][gc,phases   ] GC(10)   Evacuate Collection Set: 26.68ms
[2026-04-03T00:58:58.382+0600][4.778s][info][gc,phases   ] GC(10)   Post Evacuate Collection Set: 0.89ms
[2026-04-03T00:58:58.382+0600][4.778s][info][gc,phases   ] GC(10)   Other: 9.48ms
[2026-04-03T00:58:58.382+0600][4.778s][info][gc,heap     ] GC(10) Eden regions: 197->0(191)
[2026-04-03T00:58:58.382+0600][4.778s][info][gc,heap     ] GC(10) Survivor regions: 15->21(27)
[2026-04-03T00:58:58.382+0600][4.778s][info][gc,heap     ] GC(10) Old regions: 41->49
[2026-04-03T00:58:58.382+0600][4.778s][info][gc,heap     ] GC(10) Humongous regions: 0->0
[2026-04-03T00:58:58.382+0600][4.778s][info][gc,metaspace] GC(10) Metaspace: 8869K(9088K)->8869K(9088K) NonClass: 8026K(8128K)->8026K(8128K) Class: 843K(960K)->843K(960K)
[2026-04-03T00:58:58.383+0600][4.778s][info][gc          ] GC(10) Pause Young (Normal) (G1 Evacuation Pause) 504M->138M(708M) 38.024ms
[2026-04-03T00:58:58.383+0600][4.778s][info][gc,cpu      ] GC(10) User=0.27s Sys=0.00s Real=0.04s
[2026-04-03T00:58:58.842+0600][5.238s][info][gc,start    ] GC(11) Pause Young (Normal) (G1 Evacuation Pause)
[2026-04-03T00:58:58.842+0600][5.238s][info][gc,task     ] GC(11) Using 10 workers of 10 for evacuation
[2026-04-03T00:58:58.877+0600][5.273s][info][gc,phases   ] GC(11)   Pre Evacuate Collection Set: 0.23ms
[2026-04-03T00:58:58.877+0600][5.273s][info][gc,phases   ] GC(11)   Merge Heap Roots: 0.24ms
[2026-04-03T00:58:58.877+0600][5.273s][info][gc,phases   ] GC(11)   Evacuate Collection Set: 33.27ms
[2026-04-03T00:58:58.877+0600][5.273s][info][gc,phases   ] GC(11)   Post Evacuate Collection Set: 0.77ms
[2026-04-03T00:58:58.877+0600][5.273s][info][gc,phases   ] GC(11)   Other: 0.14ms
[2026-04-03T00:58:58.877+0600][5.273s][info][gc,heap     ] GC(11) Eden regions: 191->0(185)
[2026-04-03T00:58:58.877+0600][5.273s][info][gc,heap     ] GC(11) Survivor regions: 21->27(27)
[2026-04-03T00:58:58.877+0600][5.273s][info][gc,heap     ] GC(11) Old regions: 49->57
[2026-04-03T00:58:58.877+0600][5.273s][info][gc,heap     ] GC(11) Humongous regions: 0->0
[2026-04-03T00:58:58.877+0600][5.273s][info][gc,metaspace] GC(11) Metaspace: 8882K(9088K)->8882K(9088K) NonClass: 8038K(8128K)->8038K(8128K) Class: 843K(960K)->843K(960K)
[2026-04-03T00:58:58.877+0600][5.273s][info][gc          ] GC(11) Pause Young (Normal) (G1 Evacuation Pause) 520M->165M(708M) 34.977ms
[2026-04-03T00:58:58.877+0600][5.273s][info][gc,cpu      ] GC(11) User=0.33s Sys=0.00s Real=0.03s
[2026-04-03T00:58:59.314+0600][5.710s][info][gc,start    ] GC(12) Pause Young (Normal) (G1 Evacuation Pause)
[2026-04-03T00:58:59.314+0600][5.710s][info][gc,task     ] GC(12) Using 10 workers of 10 for evacuation
[2026-04-03T00:58:59.351+0600][5.747s][info][gc,phases   ] GC(12)   Pre Evacuate Collection Set: 0.17ms
[2026-04-03T00:58:59.351+0600][5.747s][info][gc,phases   ] GC(12)   Merge Heap Roots: 0.10ms
[2026-04-03T00:58:59.351+0600][5.747s][info][gc,phases   ] GC(12)   Evacuate Collection Set: 35.28ms
[2026-04-03T00:58:59.351+0600][5.747s][info][gc,phases   ] GC(12)   Post Evacuate Collection Set: 0.95ms
[2026-04-03T00:58:59.351+0600][5.747s][info][gc,phases   ] GC(12)   Other: 0.09ms
[2026-04-03T00:58:59.351+0600][5.747s][info][gc,heap     ] GC(12) Eden regions: 185->0(186)
[2026-04-03T00:58:59.351+0600][5.747s][info][gc,heap     ] GC(12) Survivor regions: 27->26(27)
[2026-04-03T00:58:59.351+0600][5.747s][info][gc,heap     ] GC(12) Old regions: 57->71
[2026-04-03T00:58:59.351+0600][5.747s][info][gc,heap     ] GC(12) Humongous regions: 0->0
[2026-04-03T00:58:59.351+0600][5.747s][info][gc,metaspace] GC(12) Metaspace: 8882K(9088K)->8882K(9088K) NonClass: 8038K(8128K)->8038K(8128K) Class: 843K(960K)->843K(960K)
[2026-04-03T00:58:59.351+0600][5.747s][info][gc          ] GC(12) Pause Young (Normal) (G1 Evacuation Pause) 535M->191M(708M) 36.938ms
[2026-04-03T00:58:59.351+0600][5.747s][info][gc,cpu      ] GC(12) User=0.35s Sys=0.01s Real=0.04s
[2026-04-03T00:58:59.815+0600][6.210s][info][gc,start    ] GC(13) Pause Young (Normal) (G1 Evacuation Pause)
[2026-04-03T00:58:59.815+0600][6.210s][info][gc,task     ] GC(13) Using 10 workers of 10 for evacuation
[2026-04-03T00:58:59.853+0600][6.248s][info][gc,phases   ] GC(13)   Pre Evacuate Collection Set: 0.18ms
[2026-04-03T00:58:59.853+0600][6.248s][info][gc,phases   ] GC(13)   Merge Heap Roots: 0.13ms
[2026-04-03T00:58:59.853+0600][6.248s][info][gc,phases   ] GC(13)   Evacuate Collection Set: 35.01ms
[2026-04-03T00:58:59.853+0600][6.248s][info][gc,phases   ] GC(13)   Post Evacuate Collection Set: 2.37ms
[2026-04-03T00:58:59.853+0600][6.248s][info][gc,phases   ] GC(13)   Other: 0.09ms
[2026-04-03T00:58:59.853+0600][6.248s][info][gc,heap     ] GC(13) Eden regions: 186->0(282)
[2026-04-03T00:58:59.853+0600][6.248s][info][gc,heap     ] GC(13) Survivor regions: 26->27(27)
[2026-04-03T00:58:59.853+0600][6.248s][info][gc,heap     ] GC(13) Old regions: 71->84
[2026-04-03T00:58:59.853+0600][6.248s][info][gc,heap     ] GC(13) Humongous regions: 0->0
[2026-04-03T00:58:59.853+0600][6.248s][info][gc,metaspace] GC(13) Metaspace: 8884K(9088K)->8884K(9088K) NonClass: 8040K(8128K)->8040K(8128K) Class: 843K(960K)->843K(960K)
[2026-04-03T00:58:59.853+0600][6.248s][info][gc          ] GC(13) Pause Young (Normal) (G1 Evacuation Pause) 563M->219M(1030M) 38.054ms
[2026-04-03T00:58:59.853+0600][6.248s][info][gc,cpu      ] GC(13) User=0.35s Sys=0.00s Real=0.04s
[2026-04-03T00:59:00.829+0600][7.225s][info][gc,start    ] GC(14) Pause Young (Normal) (G1 Evacuation Pause)
[2026-04-03T00:59:00.829+0600][7.225s][info][gc,task     ] GC(14) Using 10 workers of 10 for evacuation
[2026-04-03T00:59:00.867+0600][7.263s][info][gc,phases   ] GC(14)   Pre Evacuate Collection Set: 0.30ms
[2026-04-03T00:59:00.867+0600][7.263s][info][gc,phases   ] GC(14)   Merge Heap Roots: 0.27ms
[2026-04-03T00:59:00.867+0600][7.263s][info][gc,phases   ] GC(14)   Evacuate Collection Set: 35.84ms
[2026-04-03T00:59:00.867+0600][7.263s][info][gc,phases   ] GC(14)   Post Evacuate Collection Set: 1.27ms
[2026-04-03T00:59:00.867+0600][7.263s][info][gc,phases   ] GC(14)   Other: 0.21ms
[2026-04-03T00:59:00.867+0600][7.263s][info][gc,heap     ] GC(14) Eden regions: 282->0(280)
[2026-04-03T00:59:00.867+0600][7.263s][info][gc,heap     ] GC(14) Survivor regions: 27->29(39)
[2026-04-03T00:59:00.867+0600][7.263s][info][gc,heap     ] GC(14) Old regions: 84->98
[2026-04-03T00:59:00.867+0600][7.263s][info][gc,heap     ] GC(14) Humongous regions: 0->0
[2026-04-03T00:59:00.867+0600][7.263s][info][gc,metaspace] GC(14) Metaspace: 8944K(9216K)->8944K(9216K) NonClass: 8100K(8256K)->8100K(8256K) Class: 843K(960K)->843K(960K)
[2026-04-03T00:59:00.867+0600][7.263s][info][gc          ] GC(14) Pause Young (Normal) (G1 Evacuation Pause) 783M->251M(1030M) 38.222ms
[2026-04-03T00:59:00.867+0600][7.263s][info][gc,cpu      ] GC(14) User=0.38s Sys=0.00s Real=0.04s
[2026-04-03T00:59:01.415+0600][7.810s][info][gc,start    ] GC(15) Pause Young (Normal) (G1 Evacuation Pause)
[2026-04-03T00:59:01.415+0600][7.810s][info][gc,task     ] GC(15) Using 10 workers of 10 for evacuation
